Invoice_No,Invoice_Date,Supplier_GSTIN,Supplier_Name,Supplier_State,Invoice_Type,PO_Number,Item_Name,HSN_SAC,UOM,Quantity,Unit_Price,Taxable_Value,GST_Rate_%,CGST,SGST,IGST,Total_Amount,Payment_Mode,Branch_City,Match_Status,Reason,ITC_Eligible
MS/2511/00001,2025-11-24,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2511/5012,Paracetamol 500mg,3004,box,48,150,7200.0,12,0.0,0.0,864.0,8064.0,NEFT,Mysuru,Matched,,Yes
MS/2502/00002,2025-02-22,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2502/1520,Amoxicillin 500mg,3004,box,38,336,12768.0,12,0.0,0.0,1532.16,14300.16,UPI,Bangalore,Matched,,Yes
MS/2504/00003,2025-04-22,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2504/4257,Pulse Oximeter,9018,piece,39,954,37206.0,12,2232.36,2232.36,0.0,41670.72,Credit,Mangaluru,Matched,,Yes
MS/2504/00004,2025-04-23,29IIIJJ8888I1Z3,Prime Pharma Hub,29,B2B,PO/2504/3615,Multivitamin Capsules,2106,bottle,9,113,1017.0,18,91.53,91.53,0.0,1200.06,Card,Hubli,Matched,,Yes
MS/2505/00005,2025-05-23,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2505/2674,Thermometer,9025,piece,49,352,17248.0,12,0.0,0.0,2069.76,19317.76,UPI,Mangaluru,Matched,,Yes
MS/2502/00006,2025-02-19,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2502/1711,Antacid Suspension,3004,bottle,39,137,5343.0,12,0.0,0.0,641.16,5984.16,Card,Belagavi,Matched,,Yes
MS/2503/00007,2025-03-05,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2503/6925,Amoxicillin 500mg,3004,box,36,270,9720.0,12,0.0,0.0,1166.4,10886.4,Credit,Mysuru,Matched,,Yes
MS/2512/00008,2025-12-27,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2512/5741,Ibuprofen 400mg,3004,box,43,148,6364.0,12,0.0,0.0,763.68,7127.68,UPI,Mysuru,Matched,,Yes
MS/2502/00009,2025-02-21,27HHHHH7777H1Z6,Sanjeevani Distributors,27,B2B,PO/2502/6977,Hand Sanitizer 500ml,3808,bottle,15,252,3780.0,18,0.0,0.0,680.4,4460.4,NEFT,Hubli,Matched,,Yes
MS/2507/00010,2025-07-01,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2507/3803,Hand Sanitizer 500ml,3808,bottle,3,245,735.0,18,66.15,66.15,0.0,867.3,Credit,Tumakuru,Matched,,Yes
MS/2505/00011,2025-05-06,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2505/4598,Gauze Bandage,3005,pack,25,69,1725.0,5,0.0,0.0,86.25,1811.25,Cash,Bangalore,Matched,,Yes
MS/2504/00012,2025-04-28,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2504/2084,Insulin Pen Needle,9018,box,26,337,8762.0,12,525.72,525.72,0.0,9813.44,NEFT,Belagavi,Matched,,Yes
MS/2506/00013,2025-06-11,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/8517,Face Shield,3926,piece,13,254,3302.0,18,297.18,297.18,0.0,3896.36,NEFT,Hubli,Matched,,Yes
MS/2503/00014,2025-03-13,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2503/8019,Calcium Tablets,3004,box,35,142,4970.0,12,298.2,298.2,0.0,5566.4,Credit,Mangaluru,Matched,,Yes
MS/2507/00015,2025-07-05,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2507/2489,ORS Sachet,3004,pack,33,83,2739.0,5,68.48,68.48,0.0,2875.95,UPI,Bangalore,Matched,,Yes
MS/2503/00016,2025-03-20,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2503/7304,Cotton Roll,3005,pack,39,38,1482.0,5,0.0,0.0,74.1,1556.1,Card,Belagavi,Matched,,Yes
MS/2508/00017,2025-08-28,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2508/1188,Hand Sanitizer 500ml,3808,bottle,18,310,5580.0,18,0.0,0.0,1004.4,6584.4,UPI,Tumakuru,Matched,,Yes
MS/2510/00018,2025-10-02,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2510/8123,Insulin Pen Needle,9018,box,8,350,2800.0,12,0.0,0.0,336.0,3136.0,NEFT,Mangaluru,Matched,,Yes
MS/2501/00019,2025-01-02,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2501/9317,Pulse Oximeter,9018,piece,49,1265,61985.0,12,0.0,0.0,7438.2,69423.2,UPI,Tumakuru,Matched,,Yes
MS/2506/00020,2025-06-02,32KKKKK9999K1Z9,VitalCare Enterprises,32,B2B,PO/2506/7126,Disposable Gloves,4015,box,13,198,2574.0,12,0.0,0.0,308.88,2882.88,NEFT,Belagavi,Matched,,Yes
MS/2509/00021,2025-09-29,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2509/1319,Disposable Gloves,4015,box,21,370,7770.0,12,466.2,466.2,0.0,8702.4,UPI,Hubli,Matched,,Yes
MS/2506/00022,2025-06-07,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2506/2290,Ibuprofen 400mg,3004,box,16,314,5024.0,12,301.44,301.44,0.0,5626.88,UPI,Tumakuru,Matched,,Yes
MS/2509/00023,2025-09-06,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2509/3103,Calcium Tablets,3004,box,50,107,5350.0,12,0.0,0.0,642.0,5992.0,Card,Belagavi,Matched,,Yes
MS/2503/00024,2025-03-26,07EEEFF5555E1Z8,LifeAid Traders,07,B2B,PO/2503/4470,Pulse Oximeter,9018,piece,39,1766,68874.0,12,0.0,0.0,8264.88,77138.88,Credit,Tumakuru,Matched,,Yes
MS/2512/00025,2025-12-20,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2512/8177,Glucose Strips,3822,box,26,632,16432.0,12,985.92,985.92,0.0,18403.84,Credit,Mangaluru,Matched,,Yes
MS/2503/00026,2025-03-03,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2503/1344,Surgical Mask Pack,6307,pack,5,126,630.0,5,15.75,15.75,0.0,661.5,Credit,Belagavi,Matched,,Yes
MS/2504/00027,2025-04-28,29LLLLM0000L1Z0,Nova Medical Agency,29,B2B,PO/2504/1964,Surgical Mask Pack,6307,pack,1,58,58.0,5,1.45,1.45,0.0,60.9,NEFT,Bangalore,Matched,,Yes
MS/2501/00028,2025-01-17,24GGGGG6666G1Z4,Wellness Medicos,24,B2B,PO/2501/5562,Amoxicillin 500mg,3004,box,33,241,7953.0,12,0.0,0.0,954.36,8907.36,Card,Mysuru,Matched,,Yes
MS/2510/00029,2025-10-04,33CCCCC3333C1Z2,HealthLine Supplies,33,B2B,PO/2510/4981,Multivitamin Capsules,2106,bottle,19,352,6688.0,18,0.0,0.0,1203.84,7891.84,Card,Mangaluru,Matched,,Yes
MS/2504/00030,2025-04-08,27BBBCD2222B1Z7,MediCare Wholesale,27,B2B,PO/2504/7939,Vitamin C Tablets,2106,bottle,14,150,2100.0,18,0.0,0.0,378.0,2478.0,Card,Mangaluru,Matched,,Yes
MS/2501/00031,2025-01-28,29IIIJJ8888I1Z3,Prime Pharma Hub,27,B2B,PO/2501/6559,Ibuprofen 400mg,3004,box,26,276,7176.0,12,0.0,0.0,861.12,8037.12,UPI,Mysuru,Mismatch,Supplier GSTIN mismatch,Yes
MS/2504/00032,2025-04-09,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2504/7912,Calcium Tablets,3004,box,29,110,3349.5,12,191.4,191.4,0.0,3751.44,NEFT,Hubli,Mismatch,Taxable / total amount mismatch,Yes
MS/2508/00033,2025-08-25,29DDDDE4444D1Z1,CarePlus Pharma,29,B2B,PO/2508/2604,Amoxicillin 500mg,3004,box,29,401,11629.0,12,697.74,697.74,0.0,13024.48,UPI,Tumakuru,Matched,,Yes
MS/2510/00034,2025-10-04,29AABCA1111A1Z5,Apex Pharma Distributors,29,B2B,PO/2510/3724,Amoxicillin 500mg,3004,box,49,241,11809.0,12,708.54,708.54,0.0,13226.08,Card,Mangaluru,Matched,,Yes
